French,English
chercher,search
demande,request
genre,kind
mois,month
frère,brother
laisser,let
aucun,no
laisse,leash
parlé,speak
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
voici,here is
donner,give
type,type
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
premier,first
perdu,lost
première,first
côté,side
vieux,old
sois,be
tiens,here
tellement,so much
enfant,child
point,point
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
espère,hope
eau,water
nouvelle,new
boulot,job
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
aura,will have
filles,girls
